customer_ID,period,target_val,target_volm,actual_val,actual_volm,actual_rr_val,actual_rr_volm,skewed_actual_rr_val,skewed_actual_rr_volm,required_rr_val,required_rr_volm,skewed_req_rr_val,skewed_req_rr_volm
1,201711,NA,NA,902381.9800000002,380.0,30079.399333333342,12.666666666666666,NA,NA,NA,NA,NA,NA
2,201711,NA,NA,2174190.48,710.0,72473.016,23.666666666666668,NA,NA,NA,NA,NA,NA
3,201711,NA,NA,8898893.5,4890.0,296629.7833333333,163.0,NA,NA,NA,NA,NA,NA
6,201711,NA,NA,3659435.82,1898.0,121981.19399999999,63.266666666666666,NA,NA,NA,NA,NA,NA
7,201711,NA,NA,105087.24,32.0,3502.9080000000004,1.0666666666666667,NA,NA,NA,NA,NA,NA
9,201711,NA,NA,3591818.7800000003,1860.0,119727.29266666668,62.0,NA,NA,NA,NA,NA,NA
10,201711,NA,NA,2014436.84,835.0,67147.89466666667,27.833333333333332,NA,NA,NA,NA,NA,NA
12,201711,NA,NA,109232.28,70.0,3641.076,2.3333333333333335,NA,NA,NA,NA,NA,NA
13,201711,NA,NA,89452.2,60.0,2981.74,2.0,NA,NA,NA,NA,NA,NA
14,201711,NA,NA,60109.2,30.0,2003.6399999999999,1.0,NA,NA,NA,NA,NA,NA
15,201711,NA,NA,272392.04,150.0,9079.734666666665,5.0,NA,NA,NA,NA,NA,NA
16,201711,NA,NA,139948.0,70.0,4664.933333333333,2.3333333333333335,NA,NA,NA,NA,NA,NA
17,201711,NA,NA,133730.36000000002,80.0,4457.678666666668,2.6666666666666665,NA,NA,NA,NA,NA,NA
18,201711,NA,NA,98648.0,50.0,3288.266666666667,1.6666666666666667,NA,NA,NA,NA,NA,NA
19,201711,NA,NA,145968.36000000002,73.0,4865.612,2.433333333333333,NA,NA,NA,NA,NA,NA
20,201711,NA,NA,59188.8,30.0,1972.96,1.0,NA,NA,NA,NA,NA,NA
2,201712,NA,NA,879463.44,410.0,28369.78838709677,13.225806451612904,NA,NA,NA,NA,NA,NA
3,201712,NA,NA,373124.02,85.0,12036.25870967742,2.7419354838709675,NA,NA,NA,NA,NA,NA
6,201712,NA,NA,173561.24,68.4,5598.749677419354,2.206451612903226,NA,NA,NA,NA,NA,NA
7,201712,NA,NA,1392242.92,7008.0,44911.06193548387,226.06451612903226,NA,NA,NA,NA,NA,NA
9,201712,NA,NA,1191988.7999999998,6000.0,38451.25161290322,193.5483870967742,NA,NA,NA,NA,NA,NA
10,201712,NA,NA,1171325.16,415.0,37784.68258064516,13.387096774193548,NA,NA,NA,NA,NA,NA
12,201712,NA,NA,316227.98,1320.0,10200.902580645161,42.58064516129032,NA,NA,NA,NA,NA,NA
13,201712,NA,NA,45166.95,30.0,1456.9983870967742,0.967741935483871,NA,NA,NA,NA,NA,NA
15,201712,NA,NA,60109.2,30.0,1939.0064516129032,0.967741935483871,NA,NA,NA,NA,NA,NA
16,201712,NA,NA,121138.79999999999,60.0,3907.7032258064514,1.935483870967742,NA,NA,NA,NA,NA,NA
17,201712,NA,NA,64008.73,40.0,2064.797741935484,1.2903225806451613,NA,NA,NA,NA,NA,NA
19,201712,NA,NA,49041.33,27.0,1581.9783870967742,0.8709677419354839,NA,NA,NA,NA,NA,NA
20,201712,NA,NA,97810.20000000001,60.0,3155.167741935484,1.935483870967742,NA,NA,NA,NA,NA,NA
1,201801,NA,NA,1919878.3899999997,5465.0,61931.56096774193,176.29032258064515,NA,NA,NA,NA,NA,NA
2,201801,NA,NA,2476555.3999999994,1529.0,79888.88387096772,49.32258064516129,NA,NA,NA,NA,NA,NA
3,201801,NA,NA,13754618.399999999,12008.300000000001,443697.3677419354,387.36451612903227,NA,NA,NA,NA,NA,NA
6,201801,NA,NA,799131.28,1532.2999999999997,25778.428387096774,49.42903225806451,NA,NA,NA,NA,NA,NA
7,201801,NA,NA,45275.42,10.0,1460.4974193548387,0.3225806451612903,NA,NA,NA,NA,NA,NA
9,201801,NA,NA,419563.94,189.89999999999998,13534.32064516129,6.1258064516129025,NA,NA,NA,NA,NA,NA
10,201801,NA,NA,574673.22,270.0,18537.845806451613,8.709677419354838,NA,NA,NA,NA,NA,NA
12,201801,NA,NA,15330.0,10.0,494.51612903225805,0.3225806451612903,NA,NA,NA,NA,NA,NA
13,201801,NA,NA,27539.36,30.0,888.3664516129032,0.967741935483871,NA,NA,NA,NA,NA,NA
14,201801,NA,NA,941303.79,5040.0,30364.638387096777,162.58064516129033,NA,NA,NA,NA,NA,NA
15,201801,NA,NA,19835.8,10.0,639.8645161290323,0.3225806451612903,NA,NA,NA,NA,NA,NA
16,201801,NA,NA,21582.2,10.0,696.2,0.3225806451612903,NA,NA,NA,NA,NA,NA
19,201801,NA,NA,149227.3,76.0,4813.783870967742,2.4516129032258065,NA,NA,NA,NA,NA,NA
1,201802,NA,NA,908087.3100000002,349.8,32431.68964285715,12.492857142857144,NA,NA,NA,NA,NA,NA
2,201802,NA,NA,501011.98,484.8,17893.285,17.314285714285713,NA,NA,NA,NA,NA,NA
3,201802,NA,NA,5576849.36,3297.0,199173.19142857144,117.75,NA,NA,NA,NA,NA,NA
6,201802,NA,NA,335931.25999999995,328.0,11997.544999999998,11.714285714285714,NA,NA,NA,NA,NA,NA
7,201802,NA,NA,101043.4,50.0,3608.692857142857,1.7857142857142858,NA,NA,NA,NA,NA,NA
9,201802,NA,NA,432442.13999999996,390.0,15444.36214285714,13.928571428571429,NA,NA,NA,NA,NA,NA
